Symbol,Name
0001.HK,CKH_HOLDINGS
0002.HK,CLP_HOLDINGS
0003.HK,HK_&_CHINA_GAS
0005.HK,HSBC_HOLDINGS
0006.HK,POWER_ASSETS
0011.HK,HANG_SENG_BANK
0012.HK,HENDERSON_LAND
0016.HK,SHK_PPT
0017.HK,NEW_WORLD_DEV
0019.HK,SWIRE_PACIFIC_A
0027.HK,GALAXY_ENT
0066.HK,MTR_CORPORATION
0083.HK,SINO_LAND
0101.HK,HANG_LUNG_PPT
0151.HK,WANT_WANT_CHINA
0175.HK,GEELY_AUTO
0267.HK,CITIC
0288.HK,WH_GROUP
0386.HK,SINOPEC_CORP
0388.HK,HKEX
0688.HK,CHINA_OVERSEAS
0700.HK,TENCENT
0762.HK,CHINA_UNICOM
0823.HK,LINK_REIT
0836.HK,CHINA_RES_POWER
0857.HK,PETROCHINA
0883.HK,CNOOC
0939.HK,CCB
0941.HK,CHINA_MOBILE
1038.HK,CKI_HOLDINGS
1044.HK,HENGAN_INT'L
1088.HK,CHINA_SHENHUA
1093.HK,CSPC_PHARMA
1109.HK,CHINA_RES_LAND
1113.HK,CK_ASSET
1177.HK,SINO_BIOPHARM
1299.HK,AIA
1398.HK,ICBC
1928.HK,SANDS_CHINA_LTD
1997.HK,WHARF_REIC
2007.HK,COUNTRY_GARDEN
2018.HK,AAC_TECH
2313.HK,SHENZHOU_INTL
2318.HK,PING_AN
2319.HK,MENGNIU_DAIRY
2382.HK,SUNNY_OPTICAL
2388.HK,BOC_HONG_KONG
2628.HK,CHINA_LIFE
3328.HK,BANKCOMM
3988.HK,BANK_OF_CHINA